zipcode,percentage_asian,percentage_black,percentage_two_or_more,percentage_white,percentage_other
64674,0.0,0.0,0.0468384074941452,0.9508196721311475,0.0
64676,0.0,0.0,0.023809523809523808,0.9708994708994709,0.0026455026455026454
64670,0.0,0.04214876033057851,0.010743801652892562,0.9388429752066115,0.006611570247933884
64671,0.00842418235877106,0.013379583746283449,0.05203171456888008,0.925173439048563,0.0004955401387512388
64672,0.08035714285714286,0.0,0.0,0.9107142857142857,0.0
64673,0.003063457330415755,0.00350109409190372,0.010940919037199124,0.9798687089715536,0.002188183807439825
17250,0.0,0.0,0.0,0.991869918699187,0.0
17251,0.0,0.0,0.0,0.9941860465116279,0.0
17252,0.00402067777139575,0.014072372199885124,0.0430786904078116,0.9385410683515221,0.0
17253,0.0,0.0,0.0031645569620253164,0.9873417721518988,0.0031645569620253164
17254,0.0,0.4,0.0,0.4,0.0
17255,0.0,0.0,0.008302583025830259,0.9861623616236163,0.004612546125461255
17256,0.0,0.0,0.0,0.9782608695652174,0.0
17257,0.007237885158888812,0.03832632522230647,0.019301027090370165,0.9244847315089267,0.009753911904597781
63025,0.02007757243896874,0.007681192486120618,0.02022967526047608,0.9491216062057951,0.0
10709,0.061510483525887893,0.02813436029097133,0.014227642276422764,0.8936670945656825,0.0016046213093709885
10708,0.0375144457285092,0.041514801315672506,0.026180104898213173,0.8677660236465463,0.02533558538536759
63020,0.0004495729057395474,0.009191268295119636,0.010490034467256106,0.9740246765572705,0.0042959188770667865
63021,0.07071242904885683,0.031987692960585644,0.029459091471716797,0.8611391084469435,0.006082789595600587
63023,0.004061451527458944,0.0,0.00476779092353876,0.9909941726999824,0.0
10703,0.07915769322804499,0.18200526441732473,0.02048336922708782,0.5885139985642498,0.12246949030868629
10701,0.03535192607623807,0.2720488352982609,0.034815274446997266,0.47934729745593585,0.17384158714719347
10707,0.05956678700361011,0.1147634429032871,0.026790803724111724,0.7764582937488125,0.022040661219836596
10706,0.03709215798511734,0.029765311963365768,0.03365769891242129,0.8832283915283343,0.016141957641671437
10705,0.08091817770857401,0.15779295795871215,0.04349791551559596,0.3918077251494299,0.3255060525390527
10704,0.06827141895573575,0.08445783518702522,0.03464854642777012,0.6994775473572871,0.1128241289784929
46793,0.019244145606306516,0.0009274287039183863,0.010433572919081846,0.9631347090192441,0.0060282865754695105
46792,0.0013869625520110957,0.0,0.004715672676837725,0.9866851595006935,0.005270457697642164
46791,0.002053388090349076,0.0,0.002053388090349076,0.9897330595482546,0.002053388090349076
21619,0.007990272711481675,0.04273058884835852,0.0462046204620462,0.8983845752996352,0.0
46795,0.009882108183079058,0.0,0.012482662968099861,0.9759015256588072,0.0
46794,0.003946719289590528,0.0,0.0,0.9955599407992106,0.0
21617,0.004338394793926247,0.07197791362650365,0.011240386511536186,0.9098797081443503,0.0
46798,0.0,0.020539906103286387,0.004694835680751174,0.971830985915493,0.0
21610,0.0,0.01775147928994083,0.0029585798816568047,0.9053254437869822,0.0
21613,0.012004595060310166,0.36950028719126937,0.014761631246410108,0.5798966111430213,0.021826536473291212
21612,0.0,0.0,0.0,0.9971428571428571,0.0
69170,0.0,0.0,0.0,0.9615384615384616,0.035897435897435895
69171,0.0,0.0,0.0,0.9166666666666666,0.0
45449,0.017100533710924737,0.14230475983008387,0.02363576952401699,0.8124387321642522,0.0026140943252369025
45440,0.02842825479425653,0.03136744723908644,0.016286017153319843,0.9121615110340175,0.006842054543702419
